"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"LOC110015842"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015843"	0	0	0	0	7	10	7	6	0	0	0	0	0	0	0	1
"LOC110015844"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015846"	0	0	0	0	4	2	11	2	0	0	0	0	0	0	0	0
"LOC110015847"	2	0	0	3	35	53	30	31	0	0	0	0	0	0	0	3
"LOC110015849"	2	0	0	1	26	48	11	32	0	0	0	0	0	0	0	0
"LOC110015850"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015851"	0	0	0	0	1	7	0	7	0	0	0	0	0	0	0	0
"LOC110015852"	0	0	0	0	4	2	1	2	0	0	0	0	0	0	0	0
"LOC110015854"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015855"	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
"LOC110015857"	7	0	0	1	2034	2771	2665	2624	1	0	0	1	0	0	0	0
"LOC110015858"	0	0	0	0	22	2	1	10	0	0	0	0	0	0	0	0
"LOC110015859"	1	0	0	0	3	3	1	2	0	0	0	0	0	0	0	0
"LOC110015861"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
"LOC110015864"	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	0
"LOC110015865"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015869"	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0
"LOC110015870"	0	0	0	0	5	6	1	6	0	0	0	0	0	0	0	0
"LOC110015873"	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
"LOC110015874"	0	0	0	0	16	18	21	13	0	0	0	0	0	0	0	0
"LOC110015875"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015877"	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
"LOC110015879"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015880"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015881"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015885"	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
"LOC110015889"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015891"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"LOC110015892"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015893"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"LOC110015895"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015899"	5	5	0	0	1	1	0	0	0	0	0	0	0	0	0	0
"LOC110015905"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC110015910"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015912"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015913"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015914"	24	10	1	2	321	375	209	449	16	3	0	1	0	0	10	4
"LOC110015915"	0	0	4	0	0	0	5	1	0	1	0	0	0	0	0	0
"LOC110015917"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015918"	0	0	0	0	0	0	14	6	0	0	0	0	0	0	0	0
"LOC110015920"	0	0	0	0	1	3	3	3	0	0	0	0	0	0	0	0
"LOC110015921"	11	0	0	0	14	13	25	16	0	0	0	0	0	0	0	0
"LOC110015922"	0	0	0	0	70	36	53	58	0	6	0	0	0	0	0	0
"LOC110015923"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015930"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015931"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015935"	0	0	0	0	1	1	2	3	0	0	0	0	0	0	0	0
"LOC110015939"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC110015942"	0	0	0	0	77	59	37	86	0	0	0	0	0	0	0	0
"LOC110015944"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
"LOC110015945"	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0
"LOC110015947"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"LOC110015949"	0	0	0	0	2	0	1	4	0	0	0	0	0	0	0	0
"LOC110015950"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015951"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015953"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015954"	0	0	0	0	10	0	4	12	0	0	0	0	1	0	0	0
"LOC110015955"	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0
"LOC110015956"	0	0	0	0	41	39	90	82	0	0	0	0	0	0	0	0
"LOC110015957"	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0
"LOC110015961"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015963"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC110015964"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015966"	0	0	3	0	85	81	133	117	5	1	0	0	0	0	1	0
"LOC110015978"	0	0	0	0	4	0	3	2	0	0	0	0	0	0	0	0
"LOC110015983"	4	0	2	0	624	733	1161	702	0	5	1	0	0	0	0	1
"LOC110015985"	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0
"LOC110015987"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015989"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110015992"	0	0	0	0	1	4	5	12	0	0	0	0	0	0	0	0
"LOC110015995"	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0
"LOC110016002"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016005"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016008"	0	0	0	0	5	9	1	13	0	0	0	0	0	0	0	0
"LOC110016009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016010"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"LOC110016012"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016014"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016019"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016021"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016025"	0	0	0	0	2	4	19	2	0	0	0	0	0	0	0	0
"LOC110016026"	17	3	3	2	130	58	39	67	4	2	0	0	0	0	1	2
"LOC110016027"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"LOC110016029"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016030"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016031"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016033"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016034"	1	1	1	0	102	151	97	192	1	0	1	0	0	0	1	1
"LOC110016035"	6	6	0	0	64	59	38	54	0	0	0	0	0	0	0	0
"LOC110016037"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016040"	0	0	0	0	35	24	22	70	0	0	0	0	0	0	0	0
"LOC110016041"	0	0	0	0	30	20	22	27	0	0	0	0	0	0	0	0
"LOC110016042"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016044"	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0
"LOC110016045"	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0
"LOC110016046"	20	7	1	3	544	594	521	687	0	0	3	0	1	1	0	3
"LOC110016053"	0	0	0	0	24	26	35	6	0	0	0	0	0	0	0	0
"LOC110016054"	10	0	0	0	36	51	8	37	3	1	0	0	0	0	2	3
"LOC110016057"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016058"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016060"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC110016061"	0	0	0	0	2	19	5	8	0	0	0	0	0	0	0	0
"LOC110016062"	0	2	0	0	4	11	1	8	0	0	0	0	0	0	0	0
"LOC110016063"	0	0	0	0	5	20	6	9	0	0	0	0	0	0	0	0
"LOC110016064"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016065"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
"LOC110016068"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016069"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016073"	0	0	0	0	36	17	15	33	6	0	0	0	0	0	0	0
"LOC110016074"	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0
"LOC110016076"	4	0	0	0	6	4	3	6	0	0	0	0	0	0	0	0
"LOC110016079"	0	0	0	0	84	63	72	60	0	0	0	0	1	0	0	0
"LOC110016081"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016083"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016084"	1	0	0	0	22	32	18	35	0	0	0	0	0	0	0	0
"LOC110016086"	0	0	0	0	8	21	18	17	0	0	0	0	0	0	0	0
"LOC110016088"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016089"	0	0	0	0	3	11	0	11	0	0	0	0	0	0	0	0
"LOC110016090"	0	0	1	0	177	155	234	139	0	0	0	0	0	0	0	0
"LOC110016091"	0	0	0	0	16	6	16	13	0	0	0	0	0	0	0	0
"LOC110016092"	1	0	0	0	31	24	49	17	0	0	0	0	0	0	0	0
"LOC110016093"	0	0	0	0	60	62	37	17	0	1	0	0	0	0	0	0
"LOC110016095"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016098"	0	0	0	0	17	33	55	31	0	0	0	0	0	0	0	0
"LOC110016099"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC110016105"	23	2	13	0	857	708	1157	1384	12	8	0	0	1	0	5	3
"LOC110016108"	11	2	0	1	206	305	212	260	4	4	0	0	0	0	3	3
"LOC110016114"	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0
"LOC110016117"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016119"	0	0	0	0	13	6	6	11	0	0	0	0	0	0	0	0
"LOC110016122"	0	0	0	0	16	10	8	16	0	0	0	0	0	0	0	0
"LOC110016125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016129"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016130"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016132"	0	0	0	1	3	4	4	2	0	0	0	0	0	0	0	0
"LOC110016133"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016135"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"LOC110016136"	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0
"LOC110016145"	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
"LOC110016148"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016152"	0	0	0	0	6	5	4	6	0	0	0	0	0	0	0	0
"LOC110016157"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016158"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016166"	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0
"LOC110016168"	0	0	0	0	2	9	12	19	0	0	0	0	0	0	0	0
"LOC110016170"	0	0	0	0	7	10	27	12	0	0	0	0	0	0	0	0
"LOC110016172"	0	0	0	0	8	3	8	4	0	0	0	0	0	0	0	0
"LOC110016173"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016174"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016176"	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0
"LOC110016177"	3	4	0	0	6	1	0	1	0	0	0	0	1	0	0	0
"LOC110016178"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC110016179"	0	0	0	0	2	0	9	2	0	0	0	0	0	0	0	0
"LOC110016181"	5	2	1	0	21	10	61	23	0	0	0	0	0	0	0	0
"LOC110016183"	0	0	0	0	4	0	8	1	0	0	0	0	0	0	0	0
"LOC110016184"	0	0	0	0	1	5	2	6	0	0	0	0	0	0	0	0
"LOC110016189"	4	0	0	1	187	72	114	101	0	12	0	0	0	0	0	0
"LOC110016192"	0	0	0	0	3	0	4	8	0	1	0	0	0	0	0	0
"LOC110016195"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016196"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016197"	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0
"LOC110016198"	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
"LOC110016200"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"LOC110016202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016204"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016206"	3	0	0	0	272	378	367	284	0	0	0	0	0	0	0	0
"LOC110016207"	0	0	0	0	4	1	0	11	0	0	0	0	0	0	0	0
"LOC110016209"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016210"	0	0	0	0	0	3	0	14	2	0	0	0	0	0	0	0
"LOC110016211"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016214"	33	1	4	2	688	579	625	769	3	4	0	0	0	0	10	5
"LOC110016215"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016218"	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0
"LOC110016220"	0	0	0	0	20	53	43	27	0	0	0	0	0	0	0	0
"LOC110016221"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016224"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"LOC110016227"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016230"	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
"LOC110016231"	25	7	2	1	12	34	8	16	1	1	0	0	0	0	1	6
"LOC110016232"	0	0	0	0	64	83	79	82	0	0	0	0	0	0	0	0
"LOC110016234"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016246"	15	0	0	1	99	119	146	104	0	6	0	0	0	0	1	0
"LOC110016248"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016249"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016250"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016254"	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
"LOC110016256"	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
"LOC110016258"	9	0	0	0	7	11	3	11	2	0	0	0	0	0	2	3
"LOC110016260"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016263"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"LOC110016264"	1	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0
"LOC110016266"	0	0	0	0	4	11	0	4	0	0	0	0	0	0	0	0
"LOC110016267"	6	1	0	1	2953	2664	2763	3298	0	0	0	1	1	0	0	2
"LOC110016268"	0	0	0	0	3	5	0	1	0	0	0	0	0	0	0	0
"LOC110016269"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016270"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016271"	8	5	1	0	32	50	63	31	0	4	0	0	0	0	1	0
"LOC110016272"	0	0	0	0	1	8	12	10	0	0	0	0	0	0	0	0
"LOC110016274"	0	0	0	0	10	14	2	10	4	0	0	0	0	0	0	1
"LOC110016275"	0	0	0	0	8	8	14	14	0	0	0	0	0	0	0	0
"LOC110016276"	0	1	0	0	183	244	209	239	0	0	0	0	0	0	0	0
"LOC110016277"	0	0	0	0	3	0	30	10	0	0	0	0	0	0	0	0
"LOC110016278"	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0
"LOC110016280"	0	0	0	0	5	0	0	2	0	0	0	0	0	0	0	0
"LOC110016282"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016284"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
"LOC110016333"	0	0	0	0	31	32	38	26	0	0	0	0	0	0	0	3
"LOC110016336"	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0
"LOC110016338"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
"LOC110016340"	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	1
"LOC110016341"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016342"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016343"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016344"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016348"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016349"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016354"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016355"	0	0	0	0	1	1	6	2	0	0	0	0	0	0	0	0
"LOC110016359"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016363"	0	0	0	0	3	1	0	5	0	0	0	0	0	0	0	0
"LOC110016364"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016366"	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
"LOC110016367"	0	0	0	0	56	72	56	54	0	0	0	0	0	0	0	0
"LOC110016368"	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
"LOC110016370"	0	0	0	0	2	5	1	4	0	0	0	0	0	0	0	0
"LOC110016373"	0	0	0	0	4	2	1	0	0	0	0	0	0	0	0	0
"LOC110016374"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016377"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016378"	0	0	0	0	15	15	14	22	0	0	0	0	0	0	0	0
"LOC110016382"	0	0	0	0	40	76	31	105	0	0	0	0	0	0	0	0
"LOC110016384"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016388"	0	0	0	0	3	12	8	3	0	0	0	0	0	0	0	0
"LOC110016390"	0	0	0	0	91	16	25	28	0	0	0	0	0	0	0	1
"LOC110016391"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016392"	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0
"LOC110016393"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016394"	0	0	0	0	0	9	0	4	0	0	0	0	0	0	0	0
"LOC110016399"	7	0	0	5	1326	1024	1389	1463	2	0	0	2	2	0	1	3
"LOC110016400"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016401"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016407"	0	0	0	0	21	15	20	30	0	0	0	0	0	0	0	0
"LOC110016409"	0	0	0	0	8	8	7	14	0	0	0	0	0	0	0	0
"LOC110016412"	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
"LOC110016413"	0	0	0	0	23	17	6	8	0	0	0	0	0	0	0	0
"LOC110016414"	0	0	0	0	38	47	46	61	0	0	0	0	0	0	0	3
"LOC110016415"	13	13	0	1	0	0	0	0	0	0	0	2	0	0	1	4
"LOC110016416"	0	0	0	0	42	31	26	37	0	0	0	0	0	0	0	0
"LOC110016418"	0	0	0	0	10	2	0	5	0	0	0	0	0	0	0	0
"LOC110016423"	7	3	0	0	952	819	1142	956	0	0	5	0	0	0	0	0
"LOC110016429"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016431"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016432"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016433"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016434"	1	0	1	0	18	17	25	21	1	0	0	0	0	0	0	0
"LOC110016436"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC110016439"	0	0	0	0	6	3	0	26	0	0	0	0	0	2	0	0
"LOC110016441"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016474"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016475"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016479"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016480"	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
"LOC110016482"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016484"	0	0	0	0	1	14	0	20	0	0	0	0	0	0	0	0
"LOC110016486"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016487"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016488"	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
"LOC110016489"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016490"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016492"	0	0	0	0	7	12	3	2	0	0	0	0	0	0	0	0
"LOC110016493"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016495"	1	0	0	0	7	10	19	19	0	0	0	0	0	0	0	2
"LOC110016496"	0	0	0	0	94	189	206	150	0	0	0	0	0	0	0	1
"LOC110016498"	2	0	0	0	26	11	12	21	0	0	0	0	0	0	0	0
"LOC110016499"	0	0	0	0	24	39	43	21	0	0	0	0	0	0	0	0
"LOC110016506"	0	0	0	0	33	28	26	54	0	0	0	0	0	0	0	0
"LOC110016507"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016508"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016509"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016510"	0	0	0	0	99	109	80	113	0	0	0	0	0	0	0	0
"LOC110016514"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC110016515"	0	0	0	0	0	3	5	5	0	0	0	0	0	0	0	0
"LOC110016516"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
"LOC110016517"	0	0	0	0	155	134	104	200	0	0	0	0	0	0	0	0
"LOC110016521"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016523"	0	0	0	0	28	45	30	37	0	0	0	0	0	0	0	0
"LOC110016524"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016525"	8	0	0	0	44	41	63	51	2	3	0	0	0	0	0	0
"LOC110016526"	0	0	0	0	8	3	7	5	0	0	0	0	0	0	0	0
"LOC110016528"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC110016529"	0	0	0	0	1	1	1	4	0	0	0	0	0	0	0	0
"LOC110016530"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016531"	0	0	0	0	13	7	6	16	0	0	0	0	0	0	0	0
"LOC110016535"	1	0	3	0	4	11	27	6	6	0	0	0	0	0	3	0
"LOC110016538"	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0
"LOC110016541"	0	0	0	0	18	19	12	27	0	0	2	0	0	0	1	0
"LOC110016546"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016547"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016548"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"LOC110016549"	3	0	0	0	8	0	15	4	0	0	0	0	0	0	0	0
"LOC110016550"	29	0	0	8	336	311	343	466	11	1	2	0	0	1	3	8
"LOC110016551"	0	0	0	0	123	125	70	100	1	0	0	0	0	0	0	0
"LOC110016554"	0	0	0	0	2	6	13	3	0	0	0	0	0	0	0	0
"LOC110016555"	0	0	0	0	11	12	0	24	0	0	0	0	0	0	0	0
"LOC110016558"	6	0	0	2	138	77	93	209	0	6	0	0	0	0	0	0
"LOC110016559"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016562"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016563"	0	0	0	0	16	20	23	14	0	0	0	0	0	0	0	0
"LOC110016565"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016566"	0	0	0	0	6	4	11	7	0	0	0	0	0	0	0	0
"LOC110016568"	0	0	0	0	35	24	50	16	0	0	0	0	0	0	0	0
"LOC110016570"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016571"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016572"	2	0	0	0	42	53	14	17	3	2	0	0	0	0	0	0
"LOC110016576"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016577"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"LOC110016579"	0	0	0	0	3	3	0	2	0	0	0	0	0	0	0	0
"LOC110016581"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016604"	0	0	0	0	24	39	32	31	0	0	0	0	0	0	0	0
"LOC110016607"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016609"	0	0	1	0	0	6	0	0	0	4	0	0	0	0	0	0
"LOC110016612"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016616"	2	0	0	0	55	35	63	63	0	0	0	0	0	0	0	0
"LOC110016617"	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0
"LOC110016618"	0	0	0	0	45	72	78	56	0	0	0	0	0	0	0	0
"LOC110016620"	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
"LOC110016622"	0	0	0	0	34	58	67	49	0	0	0	0	0	0	0	0
"LOC110016623"	0	0	0	0	23	15	17	14	0	0	0	0	0	0	0	0
"LOC110016624"	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
"LOC110016625"	5	1	1	1	241	178	231	300	1	1	0	0	0	0	3	4
"LOC110016627"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC110016628"	0	0	0	0	0	5	9	3	0	0	0	0	0	0	0	0
