"0_eRNA"	"1_eRNA"	"10_eRNA"	"11_eRNA"	"12_eRNA"	"13_eRNA"	"14_eRNA"	"15_eRNA"	"2_eRNA"	"3_eRNA"	"4_eRNA"	"5_eRNA"	"6_eRNA"	"7_eRNA"	"8_eRNA"	"9_eRNA"
"LOC100533498"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100533499"	2	0	0	0	7	2	6	0	0	0	0	0	0	0	0	0
"LOC100533500"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100533501"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100533512"	0	0	0	0	9	29	20	32	0	0	0	0	0	0	0	0
"LOC100533514"	0	0	0	0	36	27	11	44	0	0	0	0	0	0	0	0
"LOC100820718"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"LOC100820721"	12	0	1	0	545	443	531	765	0	0	0	0	0	0	0	1
"LOC100820722"	7	0	0	0	445	334	291	500	0	0	0	0	0	0	1	4
"LOC100873162"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
"LOC101154755"	2	0	0	0	371	384	423	392	1	0	0	0	0	0	0	0
"LOC101154758"	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154761"	8	4	5	1	786	806	776	960	10	3	0	0	0	0	13	9
"LOC101154762"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154763"	48	21	0	1	1529	1458	1971	1526	0	4	1	0	1	0	3	5
"LOC101154767"	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101154768"	1	0	3	0	43	21	36	42	0	0	0	0	0	0	0	0
"LOC101154771"	0	3	0	0	11	20	51	27	0	0	0	0	0	0	0	0
"LOC101154774"	0	0	0	0	1619	2676	2536	2067	0	0	0	0	0	0	0	0
"LOC101154777"	30	18	2	3	471	360	242	393	24	24	0	0	0	1	3	9
"LOC101154780"	0	2	2	0	584	573	715	486	4	0	0	0	0	0	0	0
"LOC101154782"	0	0	0	0	520	455	235	386	0	0	0	0	0	0	0	0
